# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10994
#@/user_id	d6af5fc8-5554-4ac5-acd2-c29a134afb1d
aa[ek 	阿	c=1 d=1 t=6286
bo[uc 	博	c=1 d=1 t=146
bo[uc fh[dw 	博方	c=1 d=1 t=575
bp[dr jn[oe 	蹩腳	c=1 d=1 t=8010
bp[kd 	別	c=6 d=1.22291 t=7918
bp[kd rf[pn 	別人	c=4 d=1 t=7231
bu[ad 	不	c=5 d=1.00016 t=9278
bu[ad ai[py 	不愛	c=0 d=0.1 t=3783
bu[ad ai[py tk[kj 	不愛聽	c=1 d=1 t=3784
bu[ad co[jo 	不錯	c=3 d=1.00712 t=3965
bu[ad da[un 	不大	c=1 d=1 t=1278
bu[ad dc[ad 	不到	c=1 d=1.09231 t=10843
bu[ad ds[xv 	不懂	c=1 d=1 t=5164
bu[ad dv[yc 	不對	c=2 d=1.96079 t=7841
bu[ad fh[nf 	不妨	c=1 d=1 t=4196
bu[ad gl[xw 	不光	c=1 d=1 t=7019
bu[ad go[zc 	不過	c=33 d=1.53537 t=10426
bu[ad gr[vk 	不管	c=1 d=1 t=7001
bu[ad hc[nz 	不好	c=2 d=0.100019 t=10578
bu[ad hc[nz md[vd 	不好買	c=1 d=1 t=10579
bu[ad hc[nz ys[kl 	不好用	c=1 d=1 t=8722
bu[ad hv[rs 	不會	c=9 d=1.6746 t=10602
bu[ad kd[ac 	不開	c=1 d=1 t=346
bu[ad ke[dk ng[sb 	不可能	c=1 d=1 t=3371
bu[ad lq[pt 	不留	c=1 d=1 t=8476
bu[ad mk[oo bu[ad bd[po 	不明不白	c=1 d=1 t=3306
bu[ad ng[sb 	不能	c=8 d=1.03005 t=9016
bu[ad ql[gi 	不強	c=1 d=1.00001 t=5093
bu[ad rh[yu 	不讓	c=1 d=1 t=3832
bu[ad rj[ph 	不然	c=6 d=1.11625 t=7175
bu[ad ru[nk 	不如	c=1 d=1 t=6995
bu[ad td[dd 	不太	c=2 d=1 t=10229
bu[ad ts[kk 	不同	c=1 d=1 t=9100
bu[ad ui[or 	不是	c=9 d=1.00036 t=10836
bu[ad xk[ii 	不行	c=5 d=1 t=10936
bu[ad yc[xn 	不要	c=3 d=1.02322 t=8007
bu[ad yi[aa vi[aw 	不一致	c=1 d=1 t=3136
bu[ad yi[aa yh[my 	不一樣	c=3 d=1.60957 t=9290
bu[ad yk[ga gd[yr 	不應該	c=1 d=1 t=8571
bu[ad ys[kl 	不用	c=1 d=1 t=7936
bu[ad zu[kr 	不足	c=3 d=1 t=10934
bu[le ff[bd 	部分	c=3 d=1 t=9281
bu[le jm[rn 	部件	c=1 d=1 t=1403
bu[le mf[dv 	部門	c=1 d=1 t=2001
bu[le uu[so 	部署	c=11 d=2.66011 t=5603
bu[le uu[uy 	部屬	c=2 d=1.11648 t=9230
bu[pb 	補	c=3 d=1 t=6728
bu[pb is[we 	補充	c=3 d=1.55742 t=7273
bu[uj uu[so 	布署	c=1 d=1 t=9248
bu[vp 	步	c=1 d=1 t=9975
bu[vp ih[pn 	步長	c=1 d=1 t=9359
bw[kr 	貝	c=2 d=1.00011 t=10119
bw[lb 	北	c=7 d=1.97531 t=9192
bw[lb xm[oy 	北顯	c=5 d=3.58306 t=9506
bw[lo jk[ox 	背景	c=1 d=1 t=8105
bw[py 	被	c=19 d=1.37947 t=9954
bw[py ds[el 	被動	c=1 d=1 t=3337
bw[py rf[pn 	被人	c=1 d=1 t=8423
bw[rk 	倍	c=1 d=1 t=9398
bw[rk si[tx 	倍思	c=2 d=1.86071 t=8327
bw[wt 	備	c=2 d=1.00001 t=8162
bw[wt ff[rd 	備份	c=1 d=1 t=1485
cc[cu td[sk bj[ww zi[va 	草臺班子	c=1 d=1 t=2157
cc[fm zo[rv 	操作	c=10 d=1.08817 t=10422
cd[ap 	才	c=15 d=1.01188 t=10853
cd[ap hv[rs 	纔會	c=1 d=1 t=10799
cd[ap ui[or 	纔是	c=2 d=1 t=7863
cd[cm dj[bl 	菜單	c=1 d=1 t=2874
cd[pp li[pv 	彩禮	c=1 d=1 t=3952
cd[qo 	猜	c=2 d=1.00157 t=4275
cd[qo ce[dd 	猜測	c=1 d=1 t=3286
cd[uy yr[kr 	裁員	c=1 d=1 t=82
cd[zm 	踩	c=1 d=1 t=10924
ce[dd ui[yg 	測試	c=10 d=1.86722 t=9055
ce[vn lt[tk 	策略	c=76 d=8.41855 t=10049
cg[us 	層	c=10 d=2.54927 t=9507
cg[us mm[aa 	層面	c=1 d=1 t=9369
ch[rv ku[gi 	倉庫	c=11 d=3.55697 t=9822
ci[dr 	次	c=2 d=0.100453 t=6789
ci[dr uu[mw 	次數	c=1 d=1 t=10926
ci[uy pj[vm 	磁盤	c=8 d=1.6942 t=9064
ci[vb 	此	c=2 d=1.45384 t=5248
ci[yk 	詞	c=3 d=1.0251 t=5281
ci[yk bn[fy 	詞表	c=6 d=1.22637 t=4941
ci[yk ku[gi 	詞庫	c=8 d=3.74883 t=3249
ci[yk zu[sq 	詞組	c=1 d=1 t=2244
cj[sp kc[lv 	參考	c=4 d=1.31664 t=10238
cj[sp uu[mw 	參數	c=5 d=1.80253 t=8221
co[jo 	錯	c=5 d=1.18268 t=10701
co[jo wu[yt 	錯誤	c=3 d=1.88917 t=4473
cs[rr 	從	c=26 d=1.10821 t=10751
cs[rr er[al 	從而	c=1 d=1 t=5341
cs[rr ku[gi 	從庫	c=2 d=1.96561 t=6686
cu[mq 	粗	c=1 d=1 t=3373
cy[mc lu[zk 	村路	c=1 d=1 t=10275
cy[uz 	存	c=2 d=1.86071 t=8983
cy[uz ho[dk 	存活	c=1 d=1 t=9495
cy[uz ho[rr 	存貨	c=2 d=1.28794 t=9494
cy[uz iu[ro 	存儲	c=19 d=1.84243 t=10478
cy[uz iu[ro ll[dl 	存儲量	c=1 d=1 t=4782
cy[uz ll[dl 	存量	c=2 d=1.97531 t=9296
cy[uz qm[jj 	存錢	c=1 d=1 t=4110
cy[uz zd[ut 	存在	c=16 d=5.04083 t=9970
cz[dt he[rk 	湊合	c=2 d=1.956 t=2802
cz[dt ho[dr 	湊火	c=1 d=1 t=2792
da[fd 	打	c=14 d=1.69216 t=6351
da[fd bc[bs 	打包	c=3 d=1.3096 t=4701
da[fd dm[lv hx[yk 	打電話	c=2 d=1 t=8475
da[fd ie[al 	打車	c=2 d=1.12619 t=803
da[fd kd[ac 	打開	c=8 d=1.99965 t=10858
da[fd mj[dl 	打滿	c=3 d=2.24958 t=4707
da[fd po[uy 	打破	c=1 d=1 t=10233
da[fd si[db 	打死	c=1 d=1 t=9299
da[fd yb[pe 	打印	c=1 d=1 t=7165
da[fd zi[bz 	打字	c=2 d=1 t=8696
da[un ba[sl 	大巴	c=1 d=1 t=560
da[un bu[le ff[bd 	大部分	c=1 d=1 t=10838
da[un dg[hd 	大燈	c=6 d=1.18364 t=7683
da[un gd[mv 	大概	c=1 d=1 t=1912
da[un gv[fe mo[md 	大規模	c=2 d=1.00504 t=9952
da[un jp[nq 	大姐	c=1 d=1 t=5525
da[un jx[bu 	大家	c=11 d=1.00071 t=10073
da[un ll[dl 	大量	c=7 d=1.63025 t=9780
da[un lu[ej 	大陸	c=1 d=1 t=529
da[un pj[vm 	大盤	c=1 d=1 t=1926
da[un xk[qu xk[qu 	大猩猩	c=1 d=1 t=7907
da[un xt[xz 	大學	c=1 d=1 t=1771
da[zd dc[ad 	達到	c=2 d=1.02705 t=8114
dc[ad 	到	c=77 d=3.27752 t=10907
dc[ad di[gd 	到底	c=2 d=1.00005 t=3366
dc[ad ui[oc hz[ru 	到時候	c=1 d=1 t=5928
dc[ad vh[ji 	到帳	c=1 d=1 t=8885
dc[ad ww[rl 	到位	c=1 d=1 t=10917
dc[rd 	倒	c=1 d=1 t=3409
dc[rd gz[js 	倒鉤	c=1 d=1 t=7899
dc[sc 	導	c=3 d=1.99112 t=9058
dc[sc vi[aw 	導致	c=23 d=2.48479 t=9827
dd[fj 	帶	c=14 d=1.00247 t=8526
dd[fj kr[be 	帶寬	c=2 d=1 t=8483
dd[ic 	待	c=2 d=1 t=9914
dd[ic mk[re 	待命	c=1 d=1 t=6910
dd[ry jx[rl 	代價	c=1 d=1 t=8677
dd[ry ma[um 	代碼	c=16 d=1.01171 t=10245
dd[ry mk[xk ci[yk 	代名詞	c=1 d=1 t=6911
de[ic iu[vk ld[an 	得出來	c=1 d=1 t=4292
de[ic vi[uk 	得知	c=1 d=1 t=10014
de[ty 	地	c=1 d=1 t=7961
df[[ kd[fb 	㩐揩	c=1 d=1 t=10
dg[hd 	燈	c=6 d=1.0979 t=8140
dg[va lu[eu 	登錄	c=0 d=0.1 t=10418
dg[vc 	等	c=13 d=1.00155 t=9925
dg[vc hv[rs er[pv 	等會兒	c=1 d=1 t=4188
dg[vc ve[yo 	等着	c=1 d=1 t=6048
dg[vc wo[pd 	等我	c=1 d=1 t=7653
dg[vc yu[al 	等於	c=6 d=1.0316 t=5943
dh[fe 	擋	c=4 d=2.88068 t=10942
dh[me ww[rl 	檔位	c=1 d=1 t=10893
dh[xe 	當	c=2 d=1 t=8393
dh[xe ni[rx 	當你	c=1 d=1 t=8812
dh[xe qm[bd 	當前	c=2 d=1 t=9674
dh[xe rj[ph 	當然	c=2 d=1.00001 t=9699
dh[xe tm[ad 	當天	c=5 d=1.61946 t=9803
dh[xe ui[oc 	當時	c=15 d=1.55824 t=10746
dh[xe ui[oc ye[vv 	當時也	c=1 d=1 t=1752
dh[xe wu[wl vi[dn ji[dx 	當務之急	c=1 d=1 t=6255
dh[xe zo[rv 	當作	c=1 d=1 t=2677
di[gd 	底	c=3 d=1.00325 t=10375
di[gd cg[us 	底層	c=1 d=1 t=7200
di[rd 	低	c=1 d=1 t=9227
di[rd ji[sj 	低級	c=1 d=1 t=6736
di[rd yu[al 	低於	c=5 d=1.00381 t=9485
di[ty 	地	c=2 d=1 t=9878
di[ty fh[dw 	地方	c=6 d=1.13616 t=4975
di[ty uh[la 	地上	c=1 d=1 t=10302
di[ty vi[tv 	地址	c=4 d=2.87435 t=6407
di[ty yu[ta 	地域	c=7 d=5.99813 t=5662
di[vp er[aa tm[ad 	第二天	c=2 d=1 t=10172
di[vp si[ke ci[dr 	第四次	c=1 d=1 t=5311
di[vp sj[ae fh[dw 	第三方	c=3 d=2.98506 t=5130
di[vp yi[aa bu[vp 	第一步	c=1 d=1 t=9460
di[vp yi[aa ci[dr 	第一次	c=1 d=1 t=5361
di[vp yi[aa ge[rl 	第一個	c=1 d=1 t=1402
di[vp yi[aa hh[ii 	第一行	c=1 d=1 t=919
di[vp yi[aa pi[fb 	第一批	c=1 d=1 t=311
dj[bl 	單	c=5 d=3.06977 t=5084
dj[bl du[qi 	單獨	c=1 d=1 t=8827
dj[bl td[sk 	單臺	c=2 d=1.01769 t=5552
dj[bl zi[va 	單子	c=1 d=1 t=10485
dj[rd 	但	c=24 d=1.79591 t=9808
dk[br 	定	c=2 d=1.25924 t=10771
dk[br ui[oc 	定時	c=7 d=1.99139 t=9411
dk[br ww[rl 	定位	c=1 d=1 t=5387
dk[br yi[dx 	定義	c=5 d=1.07645 t=2458
dk[dr uh[la 	頂上	c=1 d=1 t=7504
dk[yd 	訂	c=1 d=1 t=9158
dm[fk do[fy 	掂掇	c=1 d=1 t=7086
dm[lh 	點	c=35 d=1.70913 t=10368
dm[lh bj[dl 	點半	c=1 d=1 t=7660
dm[lh qm[jj 	點錢	c=0 d=0.1 t=3956
dm[lv 	電	c=1 d=1 t=7259
dm[lv bn[fy 	電錶	c=1 d=1 t=2772
dm[lv hx[yk 	電話	c=11 d=1.66463 t=6352
dm[lv nc[ok 	電腦	c=7 d=2.16094 t=7499
dm[lv yk[op 	電影	c=3 d=2.72638 t=567
dm[lv yr[dx 	電源	c=1 d=1 t=7240
dm[lv zi[va 	電子	c=2 d=1.76721 t=10981
dn[fu 	掉	c=12 d=1.79575 t=9967
dn[yk 	調	c=7 d=1.03553 t=6673
dn[yk du[gy 	調度	c=4 d=1.00004 t=4504
dn[yk ys[kl 	調用	c=8 d=1 t=9112
do[xx 	多	c=18 d=1.26632 t=10634
do[xx ge[rl 	多個	c=1 d=1 t=4558
do[xx jq[pn 	多久	c=1 d=1 t=506
do[xx nj[yf 	多難	c=1 d=1 t=4301
do[xx nm[pl 	多年	c=2 d=1 t=4006
do[xx uc[xp 	多少	c=7 d=1.94361 t=8960
do[xx uc[xp qm[jj 	多少錢	c=1 d=1 t=6968
do[xx ue[yy bw[wt 	多設備	c=1 d=1 t=3468
do[xx uu[mw 	多數	c=1 d=1 t=5170
do[xx xp[yc 	多謝	c=4 d=1.00366 t=10060
dr[le kz[la 	端口	c=7 d=1.00066 t=8650
dr[le vg[av 	端正	c=1 d=1 t=7966
dr[py 	段	c=3 d=1.00002 t=9096
dr[ua 	短	c=1 d=1 t=3887
ds[ad xi[aa 	東西	c=10 d=1.37122 t=8713
ds[dd 	凍	c=1 d=1 t=7602
ds[dk 	洞	c=1 d=1 t=7601
ds[el 	動	c=3 d=1 t=7901
ds[el hx[ak pm[pv 	動畫片	c=1 d=1 t=6930
ds[el td[tx 	動態	c=1 d=1.00001 t=8239
ds[el td[tx pk[au td[sk 	動態平臺	c=3 d=1.00211 t=9785
ds[el wu[nw 	動物	c=1 d=1 t=7815
ds[el wu[nw yr[ke 	動物園	c=1 d=1 t=7306
du[gy 	度	c=0 d=0.1 t=1628
du[to 	堵	c=2 d=1.96079 t=10278
du[yd 	讀	c=5 d=2.37557 t=6724
du[yd xp[by 	讀寫	c=2 d=1.81058 t=6730
dv[er lp[dd 	隊列	c=9 d=1.93933 t=7886
dv[er lp[dd ji[mj 	隊列機	c=8 d=1.95188 t=10390
dv[er lp[dd xi[px ts[se 	隊列系統	c=1 d=1 t=175
dv[tf ji[hb 	堆積	c=6 d=2.7006 t=8168
dv[yc 	對	c=28 d=1.26498 t=10973
dv[yc bi[bb 	對比	c=6 d=1.22253 t=9446
dv[yc vh[ki 	對賬	c=1 d=1 t=404
dv[yc xl[dn 	對象	c=1 d=1 t=1669
dv[yc yk[ga 	對應	c=5 d=1 t=10979
dv[yc yu[al 	對於	c=1 d=1 t=8644
dw[ic 	得	c=14 d=1.05346 t=10428
dy[ww cu[rr 	敦促	c=1 d=1 t=5667
dz[er ug[pc 	陡昇	c=1 d=1 t=9417
dz[fu 	抖	c=1 d=1 t=3893
dz[le 	都	c=109 d=3.21906 t=10952
